PARENTS	HPO_ID	ET	JT	DEF	FLAG
	HP:0004090	obsolete Advanced maturation/advanced ossification of terminal thumb phalanx epiphysis	陳旧性|高度OR先端的OR進行型OR後生的|成熟OR成熟化|高度OR先端的OR進行型OR後生的|骨形成OR骨化OR骨化症|末端OR末端側ORターミナルOR終端OR終末OR末期|親指OR母指|指骨OR指節骨|骨端OR骨頭		1
	HP:0012274	Autosomal dominant inheritance with paternal imprinting	常染色体優性遺伝OR常染色体優性遺伝形式OR常染色体性優性遺伝OR常染色体性優性遺伝形式|父性OR父性的OR父方OR父系性OR父系的|刷り込みORインプリンティング	A type of autosomal dominant inheritance involving a gene that is imprinted with paternal silencing.	1
	HP:0004144	obsolete Duplication of terminal index finger phalanx	陳旧性|重複OR複製|末端OR末端側ORターミナルOR終端OR終末OR末期|指標OR指数ORインデックスOR示指OR指標をつける|手指OR指ORフィンガー|指骨OR指節骨		1
	HP:0007825	obsolete Cataracts develop in second or third decade	陳旧性|白内障|発生OR発達OR開発OR発育OR発展OR展開OR現像ORかかる|インジウム|秒OR秒間OR第二OR二次|オッズ比|第3OR第三|十年間OR十年OR年代		1
	HP:0004143	obsolete Radially deviated terminal index finger phalanx	陳旧性|末端OR末端側ORターミナルOR終端OR終末OR末期|指標OR指数ORインデックスOR示指OR指標をつける|手指OR指ORフィンガー|指骨OR指節骨		1
	HP:0009163	obsolete Abnormal form of the 5th finger	陳旧性|異常OR異常性|形OR型OR形態ORフォームOR形式OR形状OR品種OR形づくるOR形成OR編成OR成立|手指OR指ORフィンガー		1
	HP:0003744	Genetic anticipation with paternal anticipation bias	表現促進|父性OR父性的OR父方OR父系性OR父系的|予測OR期待OR表現促進|バイアスOR傾向OR片寄りOR偏見OR先入観OR偏る	A type of genetic anticipation observed predominantly upon transmission from affected males.	1
	HP:0004183	obsolete Abnormality of the epiphyses of the terminal phalanx of the middle finger	陳旧性|異常OR異常性OR奇形|骨端OR骨頭|末端OR末端側ORターミナルOR終端OR終末OR末期|指骨OR指節骨|中指ORなか指		1
	HP:0004186	obsolete Large epiphysis of terminal phalanx of the middle finger	陳旧性|大きいOR大型OR多い|骨端OR骨頭|末端OR末端側ORターミナルOR終端OR終末OR末期|指骨OR指節骨|中指ORなか指		1
	HP:0003682	Variable progression rate	可変性OR可変OR不定OR変量OR変わりやすいOR変数|進行OR悪化OR増悪OR級数ORプログレッション|割合OR比率OR速度		1
	HP:0004083	obsolete Laterally deviated terminal thumb phalanx	陳旧性|側方OR外側OR外側性ORラテラル|末端OR末端側ORターミナルOR終端OR終末OR末期|親指OR母指|指骨OR指節骨		1
	HP:0004187	obsolete Prematurely fused epiphysis of terminal phalanx of the middle finger	陳旧性|未熟OR早まって|骨端OR骨頭|末端OR末端側ORターミナルOR終端OR終末OR末期|指骨OR指節骨|中指ORなか指		1
	HP:0004121	obsolete Radially displaced proximal index finger phalanx	陳旧性|近位OR基部|指標OR指数ORインデックスOR示指OR指標をつける|手指OR指ORフィンガー|指骨OR指節骨		1
	HP:0006877	obsolete Mental retardation, in some	陳旧性|精神遅滞OR精神発達遅滞OR知的障害OR知能障害OR知能低下|インジウム|いくらかOR少しORある		1
	HP:0003581	Adult onset	成人OR成体OR大人OR成体型OR成人型OR大人OR成人性|開始OR発生ORオンセットOR発症OR発病OR作用発現	Onset of disease manifestations in adulthood, defined here as at the age of 16 years or later.	1
	HP:0004139	obsolete Flared metaphysis of middle phalanx of index finger	陳旧性|骨幹端|中節骨|指標OR指数ORインデックスOR示指OR指標をつける|手指OR指ORフィンガー		1
	HP:0004198	obsolete Wide/broad phalanges of the ring finger	陳旧性|広いOR広範OR広大OR全体にわたる|広いOR広範ORブロード|指骨OR指節骨|環指ORくすり指		1
	HP:0011550	Biventricular heart with straddling right sided atrioventricular valve and absent left sided atrioventricular connection	跨座性右側房室弁と左側房室結合のない2心室心		0
	HP:0004184	obsolete Cone-shaped epiphysis of terminal phalanx of the middle finger	陳旧性|骨端OR骨頭|末端OR末端側ORターミナルOR終端OR終末OR末期|指骨OR指節骨|中指ORなか指		1
18	HP:0004185	obsolete Fused epiphysis of terminal phalanx of the middle finger	陳旧性|骨端OR骨頭|末端OR末端側ORターミナルOR終端OR終末OR末期|指骨OR指節骨|中指ORなか指		1
	HP:0003621	Juvenile onset	若年性OR若年型OR若年期OR若年OR幼若OR若齢|開始OR発生ORオンセットOR発症OR発病OR作用発現	Onset of signs or symptoms of disease between the age of 5 and 15 years.	1
	HP:0011461	Fetal onset	胎生期OR胎性OR胎児OR胎児性OR胎仔OR胎仔型|開始OR発生ORオンセットOR発症OR発病OR作用発現	Onset prior to birth but after 8 weeks of embryonic development (corresponding to a gestational age of 10 weeks).	1
	HP:0003340	obsolete Abnormal dermatological laboratory findings	陳旧性|異常OR異常性|皮膚科学的OR皮膚科学OR皮膚科|研究室OR実験室OR検査室ORラボOR教室		1
	HP:0009449	obsolete Hypoplastic/small phalanges of the 3rd finger	陳旧性|低形成OR再生不良性|小さいOR少ないOR低分子|指骨OR指節骨|手指OR指ORフィンガー		1
	HP:0004202	obsolete Lytic defects of the proximal phalanx of the ring finger	陳旧性|溶解性OR溶菌性OR溶解薬|欠損OR欠損症OR異常OR欠陥OR欠点|基節骨|環指ORくすり指		1
	HP:0200153	obsolete Abnormal heart morphology	非形成OR無形成OR欠損OR発育不全|外側OR側方OR側面OR側OR外側性ORラテラル|切歯OR門歯		1
	HP:0003584	Late onset	遅いOR遅発OR遅発型OR晩発OR後OR後期|開始OR発生ORオンセットOR発症OR発病OR作用発現	A type of adult onset with onset of symptoms after the age of 60 years.	1
	HP:0003677	Slow progression	緩徐OR遅いORゆっくりOR緩慢OR遅くする|進行OR悪化OR増悪OR級数ORプログレッション		1
	HP:0003494	obsolete Loss of heterozygosity, multiple chromosomes	陳旧性|異型接合性ORヘテロ接合性|複数OR多発性OR多重ORマルチプルOR多発|染色体		1
	HP:0000489	obsolete Abnormality of globe location or size	陳旧性|異常OR異常性OR奇形|球OR眼球OR地球|位置OR部位|オッズ比|サイズOR大きさ		1
	HP:0011652	Double outlet right ventricle with doubly committed ventricular septal defect without pulmonary stenosis	肺動弁狭窄のない両半月弁下型心室中隔欠損を伴う両大血管右室起始症	A double outlet right ventricle with a subaortic ventritricular septal defect (a hole between the two bottom chambers (ventricles) of the heart), that extends anterosuperiorly and are closely related to the pulmonary artery as well, are considered to be doubly committed. There is not associated pulmonary stenosis, the abnormal narrowing or constriction of the pulmonary artery, in the main pulmonary artery and/or in the left or right pulmonary artery branches.	0
	HP:0009620	obsolete Radial deviation of the thumb	陳旧性|放射状OR放線状OR橈骨OR橈側|偏差OR逸脱OR異常性OR偏向OR偏位|親指OR母指		1
	HP:0030341	obsolete Papillary cystadenoma of the epididymis	濾胞ORろ胞OR卵胞|刺激ホルモン|レベルOR水準OR準位OR標準OR度合いOR平らにする	A reduction of the circulating level of follicle-stimulating hormone (FSH).	1
	HP:0003593	Infantile onset	乳児性OR乳児OR小児性OR小児型|開始OR発生ORオンセットOR発症OR発病OR作用発現	Onset of signs or symptoms of disease between 28 days to one year of life.	1
	HP:0011654	Double outlet right ventricle with non-committed ventricular septal defect without pulmonary stenosis	肺動脈弁狭窄のない遠位型心室中隔欠損を伴う両大血管右室起始症	A double outlet right ventricle with a non-committed ventricular septal defect (VSD), which is a VSD that is anatomically related to, or close to, neither great vessel, being separated from both by considerable muscle, but there is not accompanying pulmonary stenosis; the abnormal narrowing or constriction of the pulmonary artery, in the main pulmonary artery and/or in the left or right pulmonary artery branches.	0
	HP:0011651	Double outlet right ventricle with doubly committed ventricular septal defect and pulmonary stenosis	両半月弁下型心室中隔欠損と肺動弁狭窄を伴う両大血管右室起始症	A double outlet right ventricle with a subaortic ventritricular septal defect (a hole between the two bottom chambers (ventricles) of the heart), that extends anterosuperiorly and are closely related to the pulmonary artery as well, are considered to be doubly committed. There is associated pulmonary stenosis, the abnormal narrowing or constriction of the pulmonary artery, in the main pulmonary artery and/or in the left or right pulmonary artery branches.	0
	HP:0011658	Double outlet right ventricle with subpulmonary ventricular septal defect without pulmonary stenosis	肺動脈弁狭窄のない肺動脈弁下心室中隔欠損を伴う両大血管右室起始症	A double outlet right ventricle with a ventricular spetal defect (a hole between the two bottom chambers (ventricles) of the heart), that is considered to be closely related to the pulmonary origin. There is not associated pulmonary stenosis, the abnormal narrowing or constriction of the pulmonary artery, in the main pulmonary artery and/or in the left or right pulmonary artery branches.	0
	HP:0012823	Clinical modifier	臨床OR臨床的OR臨床上ORクリニカル|修飾因子OR変更因子ORモディファイヤー	This subontology is designed to provide terms to characterize and specify the phenotypic abnormalities defined in the Phenotypic abnormality subontology, with respect to severity, laterality, age of onset, and other aspects.	1
	HP:0011462	Young adult onset	若年成人ORヤングアダルト|開始OR発生ORオンセットOR発症OR発病OR作用発現	Onset of disease at the age of between 16 and 40 years.	1
	HP:0011653	Double outlet right ventricle with non-committed ventricular septal defect and pulmonary stenosis	遠位型心室中隔欠損と肺動脈弁狭窄を伴う両大血管右室起始症	A double outlet right ventricle with a non-committed ventricular septal defect (VSD), which is a VSD that is anatomically related to, or close to, neither great vessel, being separated from both by considerable muscle, and also has a pulmonary stenosis; abnormal narrowing or constriction of the pulmonary artery, in the main pulmonary artery and/or in the left or right pulmonary artery branches.	0
	HP:0011656	Double outlet right ventricle with subaortic ventricular septal defect without pulmonary stenosis	肺動脈弁狭窄のない大動脈弁下心室中隔欠損を伴う両大血管右室起始症	A double outlet right ventricle with a ventricular spetal defect (a hole between the two bottom chambers (ventricles) of the heart), that is considered to be closely related to the aortic origin. There is not associated pulmonary stenosis, the abnormal narrowing or constriction of the pulmonary artery, in the main pulmonary artery and/or in the left or right pulmonary artery branches.	0
	HP:0003623	Neonatal onset	新生児OR新生仔OR新生児期|開始OR発生ORオンセットOR発症OR発病OR作用発現	Onset of signs or symptoms of disease within the first 28 days of life.	1
	HP:0011652	Double outlet right ventricle with doubly committed ventricular septal defect without pulmonary stenosis	肺動弁狭窄のない両半月弁下型心室中隔欠損を伴う両大血管右室起始症	A double outlet right ventricle with a subaortic ventritricular septal defect (a hole between the two bottom chambers (ventricles) of the heart), that extends anterosuperiorly and are closely related to the pulmonary artery as well, are considered to be doubly committed. There is not associated pulmonary stenosis, the abnormal narrowing or constriction of the pulmonary artery, in the main pulmonary artery and/or in the left or right pulmonary artery branches.	1
	HP:0011656	Double outlet right ventricle with subaortic ventricular septal defect without pulmonary stenosis	肺動脈弁狭窄のない大動脈弁下心室中隔欠損を伴う両大血管右室起始症	A double outlet right ventricle with a ventricular spetal defect (a hole between the two bottom chambers (ventricles) of the heart), that is considered to be closely related to the aortic origin. There is not associated pulmonary stenosis, the abnormal narrowing or constriction of the pulmonary artery, in the main pulmonary artery and/or in the left or right pulmonary artery branches.	1
	HP:0011657	Double outlet right ventricle with subpulmonary ventricular septal defect and pulmonary stenosis	肺動脈弁下心室中隔欠損と肺動脈弁狭窄を伴う両大血管右室起始症	A double outlet right ventricle with a ventricular spetal defect (a hole between the two bottom chambers (ventricles) of the heart), that is considered to be closely related to the pulmonary origin. There is associated pulmonary stenosis, the abnormal narrowing or constriction of the pulmonary artery, in the main pulmonary artery and/or in the left or right pulmonary artery branches.	0
	HP:0011658	Double outlet right ventricle with subpulmonary ventricular septal defect without pulmonary stenosis	肺動脈弁狭窄のない肺動脈弁下心室中隔欠損を伴う両大血管右室起始症	A double outlet right ventricle with a ventricular spetal defect (a hole between the two bottom chambers (ventricles) of the heart), that is considered to be closely related to the pulmonary origin. There is not associated pulmonary stenosis, the abnormal narrowing or constriction of the pulmonary artery, in the main pulmonary artery and/or in the left or right pulmonary artery branches.	1
	HP:0003329	Hair shafts flattened at irregular intervals and twisted through 180 degrees about their axes	不規則な間隔で軸に対して180度ねじれた平坦な毛髪軸		0
	HP:0003403	EMG: decremental response of compound muscle action potential to repetitive nerve stimulation	筋電図:反復性刺激への複合筋活動電位(CMAP)の反応漸減	A compound muscle action potential (CMAP) is a type of electromyography (EMG). CMAP refers to a group of almost simultaneous action potentials from several muscle fibers in the same area evoked by stimulation of the supplying motor nerve and are recorded as one multipeaked summated action potential. This abnormality refers to a greater than normal decrease in the amplitude during the course of the investigation.	0
	HP:0011655	Double outlet right ventricle with subaortic ventricular septal defect and pulmonary stenosis	大動脈弁下心室中隔欠損と肺動脈弁狭窄を伴う両大血管右室起始症	A double outlet right ventricle with a ventricular spetal defect (a hole between the two bottom chambers (ventricles) of the heart), that is considered to be closely related to the aortic origin. There is associated pulmonary stenosis, the abnormal narrowing or constriction of the pulmonary artery, in the main pulmonary artery and/or in the left or right pulmonary artery branches.	0
	HP:0004196	obsolete Short phalanges of the ring finger	陳旧性|短いOR乏しいOR不足OR省略された|指骨OR指節骨|環指ORくすり指		1
	HP:0003577	Congenital onset	先天性OR先天的OR先天|開始OR発生ORオンセットOR発症OR発病OR作用発現	A phenotypic abnormality that is present at birth.	1
	HP:0011460	Embryonal onset	胚性OR胎生期OR胎児性|開始OR発生ORオンセットOR発症OR発病OR作用発現	Onset of disease at up to 8 weeks following fertilization (corresponding to 10 weeks of gestation).	1
	HP:0011651	Double outlet right ventricle with doubly committed ventricular septal defect and pulmonary stenosis	両半月弁下型心室中隔欠損と肺動弁狭窄を伴う両大血管右室起始症	A double outlet right ventricle with a subaortic ventritricular septal defect (a hole between the two bottom chambers (ventricles) of the heart), that extends anterosuperiorly and are closely related to the pulmonary artery as well, are considered to be doubly committed. There is associated pulmonary stenosis, the abnormal narrowing or constriction of the pulmonary artery, in the main pulmonary artery and/or in the left or right pulmonary artery branches.	1
	HP:0011654	Double outlet right ventricle with non-committed ventricular septal defect without pulmonary stenosis	肺動脈弁狭窄のない遠位型心室中隔欠損を伴う両大血管右室起始症	A double outlet right ventricle with a non-committed ventricular septal defect (VSD), which is a VSD that is anatomically related to, or close to, neither great vessel, being separated from both by considerable muscle, but there is not accompanying pulmonary stenosis; the abnormal narrowing or constriction of the pulmonary artery, in the main pulmonary artery and/or in the left or right pulmonary artery branches.	1
	HP:0011655	Double outlet right ventricle with subaortic ventricular septal defect and pulmonary stenosis	大動脈弁下心室中隔欠損と肺動脈弁狭窄を伴う両大血管右室起始症	A double outlet right ventricle with a ventricular spetal defect (a hole between the two bottom chambers (ventricles) of the heart), that is considered to be closely related to the aortic origin. There is associated pulmonary stenosis, the abnormal narrowing or constriction of the pulmonary artery, in the main pulmonary artery and/or in the left or right pulmonary artery branches.	1
	HP:0011657	Double outlet right ventricle with subpulmonary ventricular septal defect and pulmonary stenosis	肺動脈弁下心室中隔欠損と肺動脈弁狭窄を伴う両大血管右室起始症	A double outlet right ventricle with a ventricular spetal defect (a hole between the two bottom chambers (ventricles) of the heart), that is considered to be closely related to the pulmonary origin. There is associated pulmonary stenosis, the abnormal narrowing or constriction of the pulmonary artery, in the main pulmonary artery and/or in the left or right pulmonary artery branches.	1
	HP:0011605	Congenitally corrected transposition of the great arteries with ventricular septal defect	心室中隔欠損を伴う先天性修正大血管転位	A congenitally corrected transposition of the great arteries with a ventricular septal defect: a hole between the two bottom chambers (ventricles) of the heart. The ventricular septal defect is centered around the most superior aspect of the ventricular septum.	0
	HP:0003809	Reduced intrathoracic adipose tissue	"代謝滴に活性のある脂肪組織のほぼ完全な欠損(皮下,腹内,胸内)"	An abnormally reduced amount of adipose tissue in the thoracic cavity.	1
	HP:0011678	Tetralogy of Fallot with pulmonary atresia and major aortopulmonary collateral arteries	肺動脈弁閉鎖と主大動脈肺側副動脈を伴うFallot四徴症	A type of tetralogy of Fallot with pulmonary atresia in which all pulmonary blood flow is derived from major aortopulmonary collateral arteries (MAPCA).	0
	HP:0003205	Curvilinear intracellular accumulation of autofluorescent lipopigment storage material	自己蛍光性脂肪色素蓄積物質の曲線状細胞内蓄積	An intracellular accumulation of autofluorescent lipopigment storage material in a curved pattern.	0
